2026-06-03 19:41:27 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/arch_deep_P64_20260603_194127.log
2026-06-03 19:41:27 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/arch_deep_P64",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:43:13 | INFO | root | epoch=79 step=25 train_loss=0.00355627
2026-06-03 19:43:13 | INFO | root | epoch=79 step=50 train_loss=0.00370014
2026-06-03 19:43:14 | INFO | root | epoch=79 train_loss=0.00366701 val_loss=0.05856443
2026-06-03 19:43:14 | INFO | root | epoch=80 step=25 train_loss=0.00388270
2026-06-03 19:43:15 | INFO | root | epoch=80 step=50 train_loss=0.00397597
2026-06-03 19:43:15 | INFO | root | epoch=80 train_loss=0.00398236 val_loss=0.05758675
2026-06-03 19:43:15 | INFO | root | epoch=81 step=25 train_loss=0.00407066
2026-06-03 19:43:16 | INFO | root | epoch=81 step=50 train_loss=0.00403555
2026-06-03 19:43:16 | INFO | root | epoch=81 train_loss=0.00405544 val_loss=0.06018521
2026-06-03 19:43:17 | INFO | root | epoch=82 step=25 train_loss=0.00497996
2026-06-03 19:43:17 | INFO | root | epoch=82 step=50 train_loss=0.00488454
2026-06-03 19:43:18 | INFO | root | epoch=82 train_loss=0.00485058 val_loss=0.05661639
2026-06-03 19:43:18 | INFO | root | epoch=83 step=25 train_loss=0.00482316
2026-06-03 19:43:19 | INFO | root | epoch=83 step=50 train_loss=0.00457645
2026-06-03 19:43:19 | INFO | root | epoch=83 train_loss=0.00447467 val_loss=0.05813995
2026-06-03 19:43:19 | INFO | root | epoch=84 step=25 train_loss=0.00444880
2026-06-03 19:43:20 | INFO | root | epoch=84 step=50 train_loss=0.00437952
2026-06-03 19:43:20 | INFO | root | epoch=84 train_loss=0.00431683 val_loss=0.05534380
2026-06-03 19:43:21 | INFO | root | epoch=85 step=25 train_loss=0.00369983
2026-06-03 19:43:21 | INFO | root | epoch=85 step=50 train_loss=0.00389043
2026-06-03 19:43:22 | INFO | root | epoch=85 train_loss=0.00384457 val_loss=0.05577523
2026-06-03 19:43:22 | INFO | root | epoch=86 step=25 train_loss=0.00339720
2026-06-03 19:43:23 | INFO | root | epoch=86 step=50 train_loss=0.00335355
2026-06-03 19:43:23 | INFO | root | epoch=86 train_loss=0.00336275 val_loss=0.05161625
2026-06-03 19:43:23 | INFO | root | epoch=87 step=25 train_loss=0.00317317
2026-06-03 19:43:24 | INFO | root | epoch=87 step=50 train_loss=0.00328159
2026-06-03 19:43:24 | INFO | root | epoch=87 train_loss=0.00371702 val_loss=0.05263142
2026-06-03 19:43:25 | INFO | root | epoch=88 step=25 train_loss=0.00601198
2026-06-03 19:43:25 | INFO | root | epoch=88 step=50 train_loss=0.00535918
2026-06-03 19:43:26 | INFO | root | epoch=88 train_loss=0.00490818 val_loss=0.05378006
2026-06-03 19:43:26 | INFO | root | epoch=89 step=25 train_loss=0.00322337
2026-06-03 19:43:27 | INFO | root | epoch=89 step=50 train_loss=0.00355319
2026-06-03 19:43:27 | INFO | root | epoch=89 train_loss=0.00377236 val_loss=0.05642078
2026-06-03 19:43:27 | INFO | root | epoch=90 step=25 train_loss=0.00346509
2026-06-03 19:43:28 | INFO | root | epoch=90 step=50 train_loss=0.00329499
2026-06-03 19:43:28 | INFO | root | epoch=90 train_loss=0.00329141 val_loss=0.05406098
2026-06-03 19:43:29 | INFO | root | epoch=91 step=25 train_loss=0.00337675
2026-06-03 19:43:29 | INFO | root | epoch=91 step=50 train_loss=0.00342417
2026-06-03 19:43:30 | INFO | root | epoch=91 train_loss=0.00331631 val_loss=0.05474358
2026-06-03 19:43:30 | INFO | root | epoch=92 step=25 train_loss=0.00296504
2026-06-03 19:43:30 | INFO | root | epoch=92 step=50 train_loss=0.00284838
2026-06-03 19:43:31 | INFO | root | epoch=92 train_loss=0.00285854 val_loss=0.05593396
2026-06-03 19:43:31 | INFO | root | epoch=93 step=25 train_loss=0.00267362
2026-06-03 19:43:32 | INFO | root | epoch=93 step=50 train_loss=0.00343283
2026-06-03 19:43:32 | INFO | root | epoch=93 train_loss=0.00474643 val_loss=0.06349469
2026-06-03 19:43:33 | INFO | root | epoch=94 step=25 train_loss=0.00805455
2026-06-03 19:43:33 | INFO | root | epoch=94 step=50 train_loss=0.00745678
